date;Region;dengue;dengue hemorragico;mosquito dengue;dolor de cabeza;mosquitos;sintomas dengue;vomito
2010-08-01;CO-CUN;12;0;0;22;18;0;33
2010-08-08;CO-CUN;21;38;0;21;100;0;31
2010-08-15;CO-CUN;30;0;0;18;37;0;70
2010-08-22;CO-CUN;13;0;0;29;0;0;0
2010-08-29;CO-CUN;23;0;0;19;19;0;0
2010-09-05;CO-CUN;9;32;0;17;31;0;86
2010-09-12;CO-CUN;10;0;0;0;0;0;26
2010-09-19;CO-CUN;0;29;0;21;22;0;0
2010-09-26;CO-CUN;36;0;0;14;17;0;90
2010-10-03;CO-CUN;0;0;0;26;22;47;0
2010-10-10;CO-CUN;24;0;0;30;97;0;39
2010-10-17;CO-CUN;26;0;0;31;0;0;35
2010-10-24;CO-CUN;54;25;0;18;16;0;42
2010-10-31;CO-CUN;19;47;0;34;20;0;66
2010-11-07;CO-CUN;34;0;0;0;36;0;0
2010-11-14;CO-CUN;28;0;0;30;0;0;0
2010-11-21;CO-CUN;0;0;0;28;28;0;0
2010-11-28;CO-CUN;0;0;0;35;0;0;77
2010-12-05;CO-CUN;0;25;0;59;34;0;0
2010-12-12;CO-CUN;0;0;0;26;19;0;0
2010-12-19;CO-CUN;20;84;0;34;72;44;0
2010-12-26;CO-CUN;29;0;0;22;88;100;90
2011-01-02;CO-CUN;65;0;0;48;69;0;0
2011-01-09;CO-CUN;65;47;0;100;97;0;50
2011-01-16;CO-CUN;82;0;0;32;29;0;57
2011-01-23;CO-CUN;67;22;0;44;30;0;18
2011-01-30;CO-CUN;61;0;0;49;0;0;40
2011-02-06;CO-CUN;66;22;0;67;71;32;25
2011-02-13;CO-CUN;86;0;0;33;0;0;60
2011-02-20;CO-CUN;47;0;0;63;43;0;47
2011-02-27;CO-CUN;89;0;0;37;0;29;32
2011-03-06;CO-CUN;67;26;0;37;0;0;42
2011-03-13;CO-CUN;0;0;0;60;58;33;18
2011-03-20;CO-CUN;70;0;0;41;0;38;70
2011-03-27;CO-CUN;100;0;0;46;83;0;49
2011-04-03;CO-CUN;53;61;0;49;29;51;47
2011-04-10;CO-CUN;49;100;0;24;31;0;73
2011-04-17;CO-CUN;0;0;0;42;0;28;62
2011-04-24;CO-CUN;54;0;0;52;30;45;75
2011-05-01;CO-CUN;90;0;0;45;0;0;58
2011-05-08;CO-CUN;18;0;0;53;31;0;45
2011-05-15;CO-CUN;36;0;0;60;52;0;0
2011-05-22;CO-CUN;58;0;0;41;0;35;70
2011-05-29;CO-CUN;74;0;0;36;36;0;38
2011-06-05;CO-CUN;79;0;0;33;77;0;87
2011-06-12;CO-CUN;99;0;0;28;100;0;98
